this_is_a_report,ts,CoreId,L0,L1,L2,L3,num_pkts_done,num_alloc_pkts,num_deallocated_pkts,num_wip_packets
this_is_a_report,1704369843001132604,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843001137713,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843001146690,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843001153815,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051238077,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051301548,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051310565,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051318139,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051328899,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051340101,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051350561,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843051360690,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101440614,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101494817,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101500278,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101505147,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101509977,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101514735,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101519554,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843101524243,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151599048,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151633563,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151638633,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151643512,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151648311,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151653000,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151657709,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843151662378,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201695393,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201771989,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201778421,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201783721,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201788921,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201794191,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201799370,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843201804540,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251878934,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251910294,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251917948,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251925403,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251930403,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251935222,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251940071,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843251944890,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302011448,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302032559,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302037819,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302042908,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302047907,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302052857,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302057896,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843302062826,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352132611,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352154834,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352160224,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352165243,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352170162,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352175092,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352179981,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843352184910,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402270054,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402352862,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402362390,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402369824,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402376557,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402383520,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402391035,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843402397878,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452480647,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452547634,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452553215,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452558555,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452563744,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452569306,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452574466,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843452579565,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502656192,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502689416,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502694786,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502699656,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502705146,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502712280,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843502719784,6,0,0,0,0,0,0,0,0
